,concelho,population_2015,density_2015
198,Mogadouro,8815,11.6
199,Aljustrel,8589,18.7
200,Vila Nova de Cerveira,8969,82.7
201,Melgaço,8558,35.9
202,Paredes de Coura,8833,63.9
203,Vinhais,8289,11.9
204,Ponta do Sol,8619,186.5
205,Ferreira do Zêzere,8191,43.0
206,Torre de Moncorvo,7975,15.0
207,Campo Maior,8214,33.2
208,Vila Viçosa,7987,41.0
209,Proença-a-Nova,7741,19.6
210,Ferreira do Alentejo,7976,12.3
211,Tarouca,7784,77.8
212,Penalva do Castelo,7493,55.8
213,São João da Pesqueira,7370,27.7
214,Santana,6992,73.2
215,Alpiarça,7289,76.4
216,Celorico da Beira,7246,29.3
217,Mondim de Basto,7160,41.6
218,Miranda do Douro,7138,14.7
219,Nisa,6649,11.5
220,Almodôvar,6965,9.0
221,Arraiolos,7107,10.4
222,Santa Marta de Penaguião,6848,98.8
223,Mação,6698,16.7
224,Borba,7034,48.4
225,Vila Nova da Barquinha,7286,147.1
226,Vila Nova de Foz Côa,6792,17.1
227,Alvaiázere,6895,43.0
228,Vila Nova de Poiares,7055,83.5
229,Castro Verde,7145,12.5
230,Mértola,6534,5.1
231,Terras de Bouro,6655,24.0
232,Almeida,6323,12.2
233,Redondo,6649,18.0
234,Belmonte,6531,55.0
235,Castro Marim,6450,21.4
236,Vila Flor,6242,23.5
237,Ribeira de Pena,6222,28.6
238,Portel,6104,10.2
239,Carrazeda de Ansiães,5885,21.1
240,Sabrosa,6024,38.4
241,Tabuaço,6138,45.9
242,Povoação,6132,57.6
243,Armamar,5939,50.7
244,Figueira de Castelo Rodrigo,5918,11.6
245,Figueiró dos Vinhos,5811,33.5
246,Madalena,5958,40.5
247,Monchique,5476,13.9
248,Penela,5612,41.6
249,Murça,5633,29.7
250,Vidigueira,5654,17.9
251,Aljezur,5615,17.4
252,Alandroal,5357,9.9
253,Boticas,5309,16.5
254,Viana do Alentejo,5315,13.5
255,São Vicente,5216,66.2
256,Oleiros,5270,11.2
257,Penamacor,5116,9.1
258,Sernancelhe,5484,24.0
259,Vila do Porto,5652,58.3
260,Porto Santo,5186,120.6
261,Aguiar da Beira,5040,24.4
262,Golegã,5576,66.1
263,Velas,5244,44.7
264,Ourique,4912,7.4
265,Vila do Bispo,5206,29.1
266,Meda,4802,16.8
267,Vila Nova de Paiva,4909,28.0
268,Alfândega da Fé,4688,14.6
269,Sousel,4674,16.7
270,Fornos de Algodres,4796,36.5
271,Mora,4484,10.1
272,Nordeste,4977,49.0
273,Cuba,4757,27.6
274,Lajes do Pico,4622,29.8
275,Vimioso,4253,8.8
276,Avis,4387,7.2
277,Pampilhosa da Serra,4143,10.4
278,Mesão Frio,4101,153.9
279,Santa Cruz da Graciosa,4339,71.5
280,Góis,3985,15.1
281,Gavião,3645,12.4
282,Constância,3984,49.6
283,Sardoal,3821,41.5
284,Pedrógão Grande,3562,27.7
285,Freixo de Espada à Cinta,3492,14.3
286,Calheta (São Jorge),3312,26.2
287,Crato,3378,8.5
288,Alter do Chão,3308,9.1
289,Vila Velha de Ródão,3282,9.9
290,Marvão,3230,20.9
291,Vila de Rei,3392,17.7
292,Manteigas,3199,26.2
293,Fronteira,3088,12.4
294,Castelo de Vide,3116,11.8
295,São Roque do Pico,3303,23.2
296,Monforte,3103,7.4
297,Castanheira de Pêra,2801,41.9
298,Arronches,2988,9.5
299,Penedono,2736,20.5
300,Alcoutim,2482,4.3
301,Porto Moniz,2417,29.1
302,Mourão,2529,9.1
303,Alvito,2485,9.4
304,Santa Cruz das Flores,2196,31.0
305,Barrancos,1717,10.2
306,Lajes das Flores,1503,21.5
307,Corvo,459,26.8
